id,lat,long,DataZone,acc_employment,acc_gp,acc_hospitals,acc_school,acc_supermarket,acc_urbancentre
5655,56.49444494,-2.95147245,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5656,56.49354668,-2.95144996,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5657,56.49264842,-2.95142748,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5658,56.49175016,-2.951405,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5659,56.4908519,-2.95138251,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5660,56.48995364,-2.95136003,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5719,56.49266086,-2.94980363,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5720,56.4917626,-2.94978119,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5721,56.49086434,-2.94975874,S01007796,6.246237206502108,0,0,42.857142857142854,25,47.540983606557376
5349,56.49078941,-2.9595014,S01007797,6.155930162552679,0,0,42.857142857142854,25,49.18032786885246
5350,56.48989114,-2.95947872,S01007797,6.155930162552679,0,0,42.857142857142854,25,49.18032786885246
5412,56.48990369,-2.95785499,S01007797,6.155930162552679,0,0,42.857142857142854,25,49.18032786885246
5413,56.48900543,-2.95783235,S01007797,6.155930162552679,0,0,42.857142857142854,25,49.18032786885246
5474,56.48991621,-2.95623125,S01007797,6.155930162552679,0,0,42.857142857142854,25,49.18032786885246
5475,56.48901795,-2.95620865,S01007797,6.155930162552679,0,0,42.857142857142854,25,49.18032786885246
5476,56.48811969,-2.95618605,S01007797,6.155930162552679,0,0,42.857142857142854,25,49.18032786885246
5537,56.48903045,-2.95458495,S01007797,6.155930162552679,0,0,42.857142857142854,25,49.18032786885246
5538,56.48813218,-2.95456239,S01007797,6.155930162552679,0,0,42.857142857142854,25,49.18032786885246
5599,56.48904292,-2.95296125,S01007797,6.155930162552679,0,0,42.857142857142854,25,49.18032786885246
5600,56.48814466,-2.95293872,S01007797,6.155930162552679,0,0,42.857142857142854,25,49.18032786885246
5661,56.48905538,-2.95133754,S01007797,6.155930162552679,0,0,42.857142857142854,25,49.18032786885246
5662,56.48815712,-2.95131506,S01007797,6.155930162552679,0,0,42.857142857142854,25,49.18032786885246
4849,56.49428134,-2.9725835,S01007798,1.2040939193257074,0,0,0,25,67.21311475409836
4850,56.49338308,-2.97256051,S01007798,1.2040939193257074,0,0,0,25,67.21311475409836
4852,56.49158657,-2.97251454,S01007798,1.2040939193257074,0,0,0,25,67.21311475409836
4853,56.49068831,-2.97249156,S01007798,1.2040939193257074,0,0,0,25,67.21311475409836
4854,56.48979005,-2.97246857,S01007798,1.2040939193257074,0,0,0,25,67.21311475409836
4911,56.49429405,-2.97095958,S01007798,1.2040939193257074,0,0,0,25,67.21311475409836
4912,56.49339579,-2.97093663,S01007798,1.2040939193257074,0,0,0,25,67.21311475409836
4913,56.49249753,-2.97091369,S01007798,1.2040939193257074,0,0,0,25,67.21311475409836
4914,56.49159928,-2.97089074,S01007798,1.2040939193257074,0,0,0,25,67.21311475409836
4915,56.49070102,-2.97086779,S01007798,1.2040939193257074,0,0,0,25,67.21311475409836
4916,56.48980276,-2.97084484,S01007798,1.2040939193257074,0,0,0,25,67.21311475409836
4917,56.4889045,-2.9708219,S01007798,1.2040939193257074,0,0,0,25,67.21311475409836
4973,56.49430674,-2.96933566,S01007798,1.2040939193257074,0,0,0,25,67.21311475409836
